,Statement,Link,Author,Date and Time
0,This Malayali News Anchor Is Going Viral For Doing What Journalists Are Actually Supposed To Do,https://www.scoopwhoop.com/news/malayali-news-anchor-is-going-viral/?ref=page_cat,Ira Shukla,4/27/2021 15:40
1,This Is How International Media Is Covering India's Tragic COVID Crisis,https://www.scoopwhoop.com/news/how-international-media-is-covering-india-covid-crisis/?ref=page_cat,Ira Shukla,4/27/2021 14:03
2,10 Urdu Shayaris To Help Us Hold On To The Littlest Hope No Matter How Impossible It May Seem,https://www.scoopwhoop.com/news/urdu-shayaris-to-help-us-hold-on-to-hope-amid-pandemic/?ref=page_cat,Ira Shukla,4/26/2021 19:13
3,This Doctor's Thread From 2020 About Covid-19 Is More Relevant Than Ever,https://www.scoopwhoop.com/news/this-doctor-s-thread-from-2020-about-covid-19-is-more-relevant-than-ever/?ref=page_cat,Sumedha Tripathi,4/26/2021 19:13
4,Oxygen ‘Langar’ To Free Food: How The Sikh Community Is Helping India Fight This Covid Hell,https://www.scoopwhoop.com/news/oxygen-langar-to-free-food-how-the-sikh-community-is-helping-india-fight-this-covid-hell/?ref=page_cat,Sumedha Tripathi,4/26/2021 18:53
5,Here's How Much India's Richest Are Paying To Flee The Country & Escape Covid,https://www.scoopwhoop.com/news/how-much-indias-richest-are-paying-to-flee-the-country-escape-covid/?ref=page_cat,Rohit Bhattacharya,4/26/2021 16:57
6,10 Countries That Are Helping India Amid The Second Covid Wave,https://www.scoopwhoop.com/news/countries-lending-support-to-india-covid/?ref=page_cat,Pradamini Kumari,4/26/2021 14:25
7,Maldives May Have Banned Indian Tourists But Twitter Roasting Bollywood Celebs Has Taken Flight,https://www.scoopwhoop.com/news/maldives-suspends-tourists-from-india-twitter-roasts-bollywood-celebs/?ref=page_cat,Pradamini Kumari,4/26/2021 12:08
8,Here's How K-Pop Group BTS' Fans Are Rallying Together To Raise COVID Relief Funds For India,https://www.scoopwhoop.com/news/bts-fans-raise-more-than-21-lakhs-in-less-than-24-hours-to-help-covid-states-in-india/?ref=page_cat,Pradamini Kumari,4/25/2021 18:58
9,Experts Bust Rumour Around Whether Menstruating Women Should Be Taking Covid Vaccine Or Not,https://www.scoopwhoop.com/news/experts-bust-rumour-covid-19-vaccine-for-menstruating-women/?ref=page_cat,Pradamini Kumari,4/25/2021 17:50
10,14 Companies That Are Coming Forward To Help India In The Fight Against COVID Right Now,https://www.scoopwhoop.com/news/companies-coming-forward-to-help-india-fight-against-covid-oxygen-crisis/?ref=page_cat,Pradamini Kumari,4/25/2021 17:00
11,"This Constable Couldn't Make It To Her Haldi Ceremony Back Home, So This Is What Her Colleagues Did For Her",https://www.scoopwhoop.com/news/woman-constable-has-haldi-ceremony-at-police-station-as-she-was-unable-to-get-leave/?ref=page_cat,Pradamini Kumari,4/25/2021 15:06
